109194,H-300-17039-274277,02/16/2017,H-2A,ACTIVE,"Trump Vineyard Estates, LLC",VA,04/03/2017,10/27/2017,Vineyard Farmworker,"<img src=""/includes/images/Icon_pdf.gif"" border=""0"" alt=""PDF Job Order"" title=""PDF Job Order"" />",,8
102903,H-300-16344-057415,12/19/2016,H-2A,ACTIVE,"TRUMP VINEYARD ESTATES, LLC",VA,01/31/2017,06/30/2017,Vineyard Farmworker,"<img src=""/includes/images/Icon_pdf.gif"" border=""0"" alt=""PDF Job Order"" title=""PDF Job Order"" />","<img src=""/includes/images/Icon_pdf.gif"" border=""0"" alt=""PDF Redacted Certification"" title=""PDF Redacted Certification"" />",8
89868,H-300-16041-509221,02/18/2016,H-2A,INACTIVE,"TRUMP VINEYARD ESTATES, LLC",VA,03/28/2016,10/28/2016,Vineyard Farmworker,"<img src=""/includes/images/Icon_pdf.gif"" border=""0"" alt=""PDF Job Order"" title=""PDF Job Order"" />","<img src=""/includes/images/Icon_pdf.gif"" border=""0"" alt=""PDF Redacted Certification"" title=""PDF Redacted Certification"" />",8
75491,H-300-15044-165490,02/19/2015,H-2A,INACTIVE,"Trump Vineyard Estates, LLC",VA,03/30/2015,10/30/2015,Vineyard Farmworker,"<img src=""/includes/images/Icon_pdf.gif"" border=""0"" alt=""PDF Job Order"" title=""PDF Job Order"" />","<img src=""/includes/images/Icon_pdf.gif"" border=""0"" alt=""PDF Redacted Certification"" title=""PDF Redacted Certification"" />",8
56667,H-300-13350-921523,01/17/2014,H-2A,INACTIVE,"Trump Vineyard Estates, LLC",VA,02/17/2014,10/31/2014,VINEYARD WORKER,"<img src=""/includes/images/Icon_pdf.gif"" border=""0"" alt=""PDF Job Order"" title=""PDF Job Order"" />","<img src=""/includes/images/Icon_pdf.gif"" border=""0"" alt=""PDF Redacted Certification"" title=""PDF Redacted Certification"" />",8
