"Date of Rally","City","State","Venue","Estimated Visitors","period"
2016-02-04,"Exeter","NH","Exeter Town Hall",NA,"Primary"
2016-02-04,"Portsmouth","NH","Great Bay Community College",500,"Primary"
2016-02-05,"Florence","SC","Florence Civic Center",2000,"Primary"
2016-02-07,"Holderness","NH","ALLWell North, Plymouth State University",2500,"Primary"
2016-02-08,"Londonderry","NH","Londonderry Lions Club",200,"Primary"
2016-02-08,"Manchester","NH","Verizon Wireless Arena",5000,"Primary"
2016-02-08,"Salem","NH","Derry-Salem Elks Lodge",200,"Primary"
2016-02-10,"Pendleton","SC","T. Ed Garrison Arena, Clemson University",5000,"Primary"
2016-02-11,"Baton Rouge","LA","Baton Rouge River Center",10000,"Primary"
2016-02-12,"Tampa","FL","USF Sun Dome, University of South Florida",10000,"Primary"
2016-02-15,"Greenville","SC","TD Convention Center",2000,"Primary"
2016-02-16,"Beaufort","SC","Beaufort High School Performing Arts Center",20000,"Primary"
2016-02-16,"North Augusta","SC","Riverview Park Activities Center",2000,"Primary"
2016-02-17,"Sumter","SC","Sumter County Civic Center",4000,"Primary"
2016-02-17,"Walterboro","SC","Randy and Sara White's farm",4000,"Primary"
2016-02-18,"Gaffney","SC","Broad River Electric Cooperative",NA,"Primary"
2016-02-18,"Kiawah","SC","Turtle Point Clubhouse, Kiawah Island Golf Resort",NA,"Primary"
2016-02-19,"North Charleston","SC","North Charleston Convention Center",2000,"Primary"
2016-02-19,"Myrtle Beach","SC","Myrtle Beach Sports Center",12000,"Primary"
2016-02-19,"Pawleys Island","SC","Pawley's Plantation Golf & Country Club",1000,"Primary"
2016-02-21,"Atlanta","GA","Georgia World Congress Center",NA,"Primary"
2016-02-22,"Las Vegas","NV","South Point Hotel, Casino & Spa",NA,"Primary"
2016-02-23,"Sparks","NV","Rose Ballroom",3016,"Primary"
2016-02-26,"Oklahoma City","OK","Cox Convention Center",7000,"Primary"
2016-02-27,"Highfill","AR","Northwest Arkansas Regional Airport",5000,"Primary"
2016-02-27,"Fort Worth","TX","Fort Worth Convention Center",8000,"Primary"
2016-02-27,"Millington","TN","Millington Regional Jetport",10000,"Primary"
2016-02-28,"Madison","AL","Madison City Schools Stadium",NA,"Primary"
2016-02-29,"Radford","VA","Dedmon Center, Radford University",3800,"Primary"
2016-02-29,"Valdosta","GA","The Complex, Valdosta State University",7500,"Primary"
2016-03-01,"Columbus","OH","Port Columbus International Airport",4000,"Primary"
2016-03-01,"Louisville","KY","Kentucky International Convention Center",5000,"Primary"
2016-03-03,"Portland","ME","The Westin Portland Harborview Hotel",1100,"Primary"
2016-03-04,"Warren","MI","Sports & Expo Center, Macomb Community College",4000,"Primary"
2016-03-04,"Cadillac","MI","Wexford County Civic Center",3500,"Primary"
2016-03-04,"New Orleans","LA","Lakefront Airport",4000,"Primary"
2016-03-05,"Orlando","FL","CFE Arena, University of Central Florida",10000,"Primary"
2016-03-05,"Wichita","KS","Century II Performing Arts & Convention Center",NA,"Primary"
2016-03-07,"Concord","NC","Cabarrus Arena & Events Center",3000,"Primary"
2016-03-07,"Madison","MS","Madison Central High School",9000,"Primary"
2016-03-09,"Fayetteville","NC","Crown Coliseum",11000,"Primary"
2016-03-11,"St. Louis","MO","Peabody Opera House",3100,"Primary"
2016-03-12,"Cleveland","OH","I-X Center",29000,"Primary"
2016-03-12,"Dayton","OH","Dayton International Airport",20000,"Primary"
2016-03-12,"Kansas City","MO","Midland Theatre",7000,"Primary"
2016-03-13,"Bloomington","IL","Synergy Flight Center, Central Illinois Regional Airport",3000,"Primary"
2016-03-13,"Boca Raton","FL","Sunset Cove Amphitheater, Sugar Sand Park",6000,"Primary"
2016-03-14,"Tampa","FL","Tampa Convention Center",1500,"Primary"
2016-03-14,"Vienna","OH","Winner Aviation, Youngstown–Warren Regional Airport",2500,"Primary"
2016-03-18,"Salt Lake City","UT","Inifinity Event Center",1200,"Primary"
2016-03-19,"Fountain Hills","AZ","Fountain Park",10000,"Primary"
2016-03-19,"Tucson","AZ","Tucson Convention Center",5000,"Primary"
2016-03-29,"Janesville","WI","Janesville Conference Center",1000,"Primary"
2016-03-30,"Appleton","WI","Radisson Paper Valley Hotel",1000,"Primary"
2016-03-30,"De Pere","WI","Byron L. Walter Theatre, St. Norbert College",750,"Primary"
2016-04-02,"Eau Claire","WI","Memorial High School",1500,"Primary"
2016-04-02,"Racine","WI","Memorial Hall",1200,"Primary"
2016-04-02,"Rothschild","WI","Central Wisconsin Convention & Expo Center",1700,"Primary"
2016-04-03,"West Allis","WI","Nathan Hale High School",1000,"Primary"
2016-04-04,"La Crosse","WI","La Crosse Center",1700,"Primary"
2016-04-04,"Milwaukee","WI","Milwaukee Theatre",NA,"Primary"
2016-04-04,"Superior","WI","Richard I. Bong Airport",1000,"Primary"
2016-04-06,"Bethpage","NY","Grumman Studios",10000,"Primary"
2016-04-10,"Rochester","NY","JetSmart Aviation Services, Greater Rochester International Airport",9000,"Primary"
2016-04-11,"Albany","NY","Times Union Center",10000,"Primary"
2016-04-12,"Rome","NY","Griffiss International Airport",5000,"Primary"
2016-04-13,"Pittsburgh","PA","David L. Lawrence Convention Center",4500,"Primary"
2016-04-15,"Hartford","CT","Connecticut Convention Center",7000,"Primary"
2016-04-15,"Plattsburgh","NY","Crete Civic Center",3000,"Primary"
2016-04-16,"Syracuse","NY","Nicholas J. Pirro Convention Center, Oncenter",5000,"Primary"
2016-04-16,"Watertown","NY","Watertown International Airport",2000,"Primary"
2016-04-17,"Poughkeepsie","NY","Mid-Hudson Civic Center",NA,"Primary"
2016-04-18,"Buffalo","NY","First Niagara Center",11400,"Primary"
2016-04-20,"Indianapolis","IN","Elements Financial Blue Ribbon Pavilion, Indiana State Fairgrounds",4000,"Primary"
2016-04-20,"Berlin","MD","Stephen Decatur High School",3000,"Primary"
2016-04-21,"Harrisburg","PA","Pennsylvania Farm Show Complex & Expo Center",6000,"Primary"
2016-04-22,"Harrington","DE","Quillen Arena, Delaware State Fairgrounds",8200,"Primary"
2016-04-23,"Bridgeport","CT","Klein Memorial Auditorium",1400,"Primary"
2016-04-23,"Waterbury","CT","Crosby High School",3000,"Primary"
2016-04-24,"Hagerstown","MD","Rider Jet Center, Hagerstown Regional Airport",5000,"Primary"
2016-04-25,"Warwick","RI","Crowne Plaza Hotel Providence-Warwick",1000,"Primary"
2016-04-25,"West Chester","PA","West Chester University",3500,"Primary"
2016-04-25,"Wilkes-Barre","PA","Mohegan Sun Arena at Casey Plaza",10000,"Primary"
2016-04-27,"Indianapolis","IN","Indiana Farmers Coliseum",5000,"Primary"
2016-04-28,"Costa Mesa","CA","Pacific Amphitheatre, OC Fair & Event Center",NA,"Primary"
2016-04-28,"Evansville","IN","Old National Events Plaza",12000,"Primary"
2016-05-01,"Fort Wayne","IN","Allen County War Memorial Coliseum",8000,"Primary"
2016-05-01,"Terre Haute","IN","Indiana Theatre",2100,"Primary"
2016-05-02,"Carmel","IN","The Palladium at the Center for the Performing Arts",1800,"Primary"
2016-05-02,"South Bend","IN","Century Center",8000,"Primary"
2016-05-05,"Charleston","WV","Charleston Civic Center",NA,"Primary"
2016-05-06,"Eugene","OR","Lane Events Center",5000,"Primary"
2016-05-06,"Omaha","NE","Werner Enterprises Hangar, Eppley Airfield",3500,"Primary"
2016-05-07,"Lynden","WA","Northwest Washington Fair and Event Center",7500,"Primary"
2016-05-07,"Spokane","WA","Spokane Convention Center",10000,"Primary"
2016-05-24,"Albuquerque","NM","Albuquerque Convention Center",8000,"Primary"
2016-05-25,"Anaheim","CA","Anaheim Convention Center",3000,"Primary"
2016-05-26,"Billings","MT","Rimrock Auto Arena at MetraPark",7000,"Primary"
2016-05-27,"Fresno","CA","Selland Arena",7000,"Primary"
2016-05-27,"San Diego","CA","San Diego Convention Center",NA,"Primary"
2016-06-01,"Sacramento","CA","Sacramento Jet Center, Sacramento International Airport",5000,"Primary"
2016-06-02,"San Jose","CA","South Hall, San Jose Convention Center",NA,"Primary"
2016-06-03,"Redding","CA","Redding Municipal Airport",4000,"Primary"
