"Date of Rally","City","State","Venue","Estimated Visitors","period"
"Sunday, November 6, 2016","Sterling Heights","MI","Freedom Hill Amphitheater, Freedom Hill County Park","8,000","General"
"Sunday, November 6, 2016","Moon Township","PA","Atlantic Aviation","12,000","General"
"Sunday, November 6, 2016","Leesburg","VA","Agricultural hall, Loudoun Fairgrounds","9,000
20,000[347]","General"
"Monday, November 7, 2016","Sarasota","FL","Robarts Arena, Sarasota County Fairgrounds","5,000","General"
"Monday, November 7, 2016","Raleigh","NC","Dorton Arena","7,000","General"
"Monday, November 7, 2016","Scranton","PA","Lackawanna College Student Union","5,000","General"
"Monday, November 7, 2016","Manchester","NH","SNHU Arena","12,000","General"
"Monday, November 7, 2016","Grand Rapids","MI","DeVos Place Convention Center","4,200","General"
"Thursday, December 1, 2016","Cincinnati","OH","U.S. Bank Arena",NA,"Postelex"
"Tuesday, December 6, 2016","Fayetteville","NC","Crown Coliseum",NA,"Postelex"
"Thursday, December 8, 2016","Des Moines","IA","Iowa Events Center",NA,"Postelex"
"Friday, December 9, 2016","Baton Rouge","LA","Dow Chemical Hangar, Baton Rouge Metropolitan Airport",NA,"Postelex"
"Friday, December 9, 2016","Grand Rapids","MI","DeltaPlex Arena",NA,"Postelex"
"Tuesday, December 13, 2016","West Allis","WI","Wisconsin Exposition Center, Wisconsin State Fair Park",NA,"Postelex"
"Thursday, December 15, 2016","Hershey","PA","Giant Center",NA,"Postelex"
"Friday, December 16, 2016","Orlando","FL","Central Florida Fairgrounds",NA,"Postelex"
"Saturday, December 17, 2016","Mobile","AL","Ladd-Peebles Stadium",NA,"Postelex"
"Saturday, February 18, 2017","Melbourne","FL","Orlando Melbourne International Airport","9,000","Presidency"
"Wednesday, March 15, 2017","Nashville","TN","Nashville Municipal Auditorium","6,500-7,000","Presidency"
"Monday, March 20, 2017","Louisville","KY","Kentucky Exposition Center","18,000","Presidency"
"Saturday, April 29, 2017","Harrisburg","PA","Pennsylvania Farm Show Complex & Expo Center","TBD","Presidency"
"Wednesday, June 21, 2017","Cedar Rapids","IA","U.S Cellular Center","TBA","Presidency"
"Tuesday, July 25, 2017","Youngstown","OH","Covelli Center","7,000","Presidency"
