"Date of Rally","City","State","Venue","Estimated Visitors","period"
"Wednesday, January 27, 2016","Gilbert","SC","The Barn at Harmon's","400","Primary"
"Thursday, January 28, 2016","Des Moines","IA","Sheslow Auditorium, Drake University","700","Primary"
"Friday, January 29, 2016","Nashua","NH","Radisson Hotel Nashua","850","Primary"
"Saturday, January 30, 2016","Clinton","IA","Clinton Middle School","1,000","Primary"
"Saturday, January 30, 2016","Davenport","IA","Adler Theatre","2,400","Primary"
"Saturday, January 30, 2016","Dubuque","IA","Dubuque Regional Airport","1,200","Primary"
"Sunday, January 31, 2016","Council Bluffs","IA","Gerald W. Kirn Middle School","2,000","Primary"
"Monday, February 1, 2016","Cedar Rapids","IA","DoubleTree Hotel Cedar Rapids Convention Complex","1,500","Primary"
"Monday, February 1, 2016","Waterloo","IA","Ramada Waterloo Hotel and Convention Center","300","Primary"
"Tuesday, February 2, 2016","Milford","NH","Hampshire Hills Athletic Club","","Primary"
"Wednesday, February 3, 2016","Little Rock","AR","Barton Coliseum","11,500","Primary"
"Thursday, February 4, 2016","Exeter","NH","Exeter Town Hall","","Primary"
"Thursday, February 4, 2016","Portsmouth","NH","Great Bay Community College","500","Primary"
"Friday, February 5, 2016","Florence","SC","Florence Civic Center","Thousands","Primary"
"Sunday, February 7, 2016","Holderness","NH","ALLWell North, Plymouth State University","2,500","Primary"
"Monday, February 8, 2016","Londonderry","NH","Londonderry Lions Club","200","Primary"
"Monday, February 8, 2016","Manchester","NH","Verizon Wireless Arena","5,000","Primary"
"Monday, February 8, 2016","Salem","NH","Derry-Salem Elks Lodge","200","Primary"
"Wednesday, February 10, 2016","Pendleton","SC","T. Ed Garrison Arena, Clemson University","5,000","Primary"
"Thursday, February 11, 2016","Baton Rouge","LA","Baton Rouge River Center","10,000","Primary"
"Friday, February 12, 2016","Tampa","FL","USF Sun Dome, University of South Florida","10,000","Primary"
"Monday, February 15, 2016","Greenville","SC","TD Convention Center","Thousands","Primary"
"Tuesday, February 16, 2016","Beaufort","SC","Beaufort High School Performing Arts Center","20,000","Primary"
"Tuesday, February 16, 2016","North Augusta","SC","Riverview Park Activities Center","2,000","Primary"
"Wednesday, February 17, 2016","Sumter","SC","Sumter County Civic Center","4,000","Primary"
"Wednesday, February 17, 2016","Walterboro","SC","Randy and Sara White's farm","4,000","Primary"
"Thursday, February 18, 2016","Gaffney","SC","Broad River Electric Cooperative","","Primary"
"Thursday, February 18, 2016","Kiawah","SC","Turtle Point Clubhouse, Kiawah Island Golf Resort","","Primary"
"Friday, February 19, 2016","North Charleston","SC","North Charleston Convention Center","2,000","Primary"
"Friday, February 19, 2016","Myrtle Beach","SC","Myrtle Beach Sports Center","12,000","Primary"
"Friday, February 19, 2016","Pawleys Island","SC","Pawley's Plantation Golf & Country Club","1,000","Primary"
"Sunday, February 21, 2016","Atlanta","GA","Georgia World Congress Center","","Primary"
"Monday, February 22, 2016","Las Vegas","NV","South Point Hotel, Casino & Spa","","Primary"
"Tuesday, February 23, 2016","Sparks","NV","Rose Ballroom","3,016","Primary"
"Friday, February 26, 2016","Oklahoma City","OK","Cox Convention Center","7,000","Primary"
"Saturday, February 27, 2016","Highfill","AR","Northwest Arkansas Regional Airport","5,000","Primary"
"Saturday, February 27, 2016","Fort Worth","TX","Fort Worth Convention Center","8,000","Primary"
"Saturday, February 27, 2016","Millington","TN","Millington Regional Jetport","10,000","Primary"
"Sunday, February 28, 2016","Madison","AL","Madison City Schools Stadium","","Primary"
"Monday, February 29, 2016","Radford","VA","Dedmon Center, Radford University","3,800","Primary"
"Monday, February 29, 2016","Valdosta","GA","The Complex, Valdosta State University","7,500","Primary"
"Tuesday, March 1, 2016","Columbus","OH","Port Columbus International Airport","4,000","Primary"
"Tuesday, March 1, 2016","Louisville","KY","Kentucky International Convention Center","5,000","Primary"
"Thursday, March 3, 2016","Portland","ME","The Westin Portland Harborview Hotel","1,100","Primary"
"Friday, March 4, 2016","Warren","MI","Sports & Expo Center, Macomb Community College","4,000","Primary"
"Friday, March 4, 2016","Cadillac","MI","Wexford County Civic Center","3,500","Primary"
"Friday, March 4, 2016","New Orleans","LA","Lakefront Airport","4,000","Primary"
"Saturday, March 5, 2016","Orlando","FL","CFE Arena, University of Central Florida","10,000","Primary"
"Saturday, March 5, 2016","Wichita","KS","Century II Performing Arts & Convention Center","","Primary"
"Monday, March 7, 2016","Concord","NC","Cabarrus Arena & Events Center","3,000","Primary"
"Monday, March 7, 2016","Madison","MS","Madison Central High School","9,000","Primary"
"Wednesday, March 9, 2016","Fayetteville","NC","Crown Coliseum","11,000","Primary"
"Friday, March 11, 2016","St. Louis","MO","Peabody Opera House","3,100","Primary"
"Saturday, March 12, 2016","Cleveland","OH","I-X Center","29,000","Primary"
"Saturday, March 12, 2016","Dayton","OH","Dayton International Airport","20,000","Primary"
"Saturday, March 12, 2016","Kansas City","MO","Midland Theatre","7,000","Primary"
"Sunday, March 13, 2016","Bloomington","IL","Synergy Flight Center, Central Illinois Regional Airport","3,000","Primary"
"Sunday, March 13, 2016","Boca Raton","FL","Sunset Cove Amphitheater, Sugar Sand Park","6,000","Primary"
"Monday, March 14, 2016","Tampa","FL","Tampa Convention Center","1,500","Primary"
"Monday, March 14, 2016","Vienna","OH","Winner Aviation, Youngstown–Warren Regional Airport","2,500","Primary"
"Friday, March 18, 2016","Salt Lake City","UT","Inifinity Event Center","1,200","Primary"
"Saturday, March 19, 2016","Fountain Hills","AZ","Fountain Park","10,000","Primary"
"Saturday, March 19, 2016","Tucson","AZ","Tucson Convention Center","5,000","Primary"
"Tuesday, March 29, 2016","Janesville","WI","Janesville Conference Center","1,000","Primary"
"Wednesday, March 30, 2016","Appleton","WI","Radisson Paper Valley Hotel","1,000","Primary"
"Wednesday, March 30, 2016","De Pere","WI","Byron L. Walter Theatre, St. Norbert College","750","Primary"
"Saturday, April 2, 2016","Eau Claire","WI","Memorial High School","1,500","Primary"
"Saturday, April 2, 2016","Racine","WI","Memorial Hall","1,200","Primary"
"Saturday, April 2, 2016","Rothschild","WI","Central Wisconsin Convention & Expo Center","1,700","Primary"
"Sunday, April 3, 2016","West Allis","WI","Nathan Hale High School","1,000","Primary"
"Monday, April 4, 2016","La Crosse","WI","La Crosse Center","1,700","Primary"
"Monday, April 4, 2016","Milwaukee","WI","Milwaukee Theatre","","Primary"
"Monday, April 4, 2016","Superior","WI","Richard I. Bong Airport","1,000","Primary"
"Wednesday, April 6, 2016","Bethpage","NY","Grumman Studios","10,000","Primary"
"Sunday, April 10, 2016","Rochester","NY","JetSmart Aviation Services, Greater Rochester International Airport","9,000","Primary"
"Monday, April 11, 2016","Albany","NY","Times Union Center","10,000","Primary"
"Tuesday, April 12, 2016","Rome","NY","Griffiss International Airport","5,000","Primary"
"Wednesday, April 13, 2016","Pittsburgh","PA","David L. Lawrence Convention Center","4,500","Primary"
"Friday, April 15, 2016","Hartford","CT","Connecticut Convention Center","7,000","Primary"
"Friday, April 15, 2016","Plattsburgh","NY","Crete Civic Center","3,000","Primary"
"Saturday, April 16, 2016","Syracuse","NY","Nicholas J. Pirro Convention Center, Oncenter","5,000","Primary"
"Saturday, April 16, 2016","Watertown","NY","Watertown International Airport","2,000","Primary"
"Sunday, April 17, 2016","Poughkeepsie","NY","Mid-Hudson Civic Center","","Primary"
"Monday, April 18, 2016","Buffalo","NY","First Niagara Center","11,400","Primary"
"Wednesday, April 20, 2016","Indianapolis","IN","Elements Financial Blue Ribbon Pavilion, Indiana State Fairgrounds","4,000","Primary"
"Wednesday, April 20, 2016","Berlin","MD","Stephen Decatur High School","3,000","Primary"
"Thursday, April 21, 2016","Harrisburg","PA","Pennsylvania Farm Show Complex & Expo Center","6,000","Primary"
"Friday, April 22, 2016","Harrington","DE","Quillen Arena, Delaware State Fairgrounds","8,200","Primary"
"Saturday, April 23, 2016","Bridgeport","CT","Klein Memorial Auditorium","1,400","Primary"
"Saturday, April 23, 2016","Waterbury","CT","Crosby High School","3,000","Primary"
"Sunday, April 24, 2016","Hagerstown","MD","Rider Jet Center, Hagerstown Regional Airport","5,000","Primary"
"Monday, April 25, 2016","Warwick","RI","Crowne Plaza Hotel Providence-Warwick","1,000","Primary"
"Monday, April 25, 2016","West Chester","PA","West Chester University","3,500","Primary"
"Monday, April 25, 2016","Wilkes-Barre","PA","Mohegan Sun Arena at Casey Plaza","10,000","Primary"
"Wednesday, April 27, 2016","Indianapolis","IN","Indiana Farmers Coliseum","5,000","Primary"
"Thursday, April 28, 2016","Costa Mesa","CA","Pacific Amphitheatre, OC Fair & Event Center","","Primary"
"Thursday, April 28, 2016","Evansville","IN","Old National Events Plaza","12,000","Primary"
"Sunday, May 1, 2016","Fort Wayne","IN","Allen County War Memorial Coliseum","8,000","Primary"
"Sunday, May 1, 2016","Terre Haute","IN","Indiana Theatre","2,100","Primary"
"Monday, May 2, 2016","Carmel","IN","The Palladium at the Center for the Performing Arts","1,800","Primary"
"Monday, May 2, 2016","South Bend","IN","Century Center","8,000","Primary"
"Thursday, May 5, 2016","Charleston","WV","Charleston Civic Center","","Primary"
"Friday, May 6, 2016","Eugene","OR","Lane Events Center","5,000","Primary"
"Friday, May 6, 2016","Omaha","NE","Werner Enterprises Hangar, Eppley Airfield","3,500","Primary"
"Saturday, May 7, 2016","Lynden","WA","Northwest Washington Fair and Event Center","7,500","Primary"
"Saturday, May 7, 2016","Spokane","WA","Spokane Convention Center","10,000","Primary"
"Tuesday, May 24, 2016","Albuquerque","NM","Albuquerque Convention Center","8,000","Primary"
